alias,name
metre,meter
deg,degree (angle)
degree,degree (angle)
da,day
tropical year,year
solar year,year
common year,calendar year
AU,astronomical unit
micron,micrometer
cc,milliliter
deg C,degree Celsius
deg F,degree Fahrenheit
deg c,degree Celsius
deg f,degree Fahrenheit
rankine,Rankine
Celsius,degree Celsius
Fahrenheit,degree Fahrenheit
celsius,degree Celsius
fahrenheit,degree Fahrenheit
statute mile,mile
firkin,firkin (mass)
speed of light,light speed
lightspeed,light speed
arc minute,minute (angle)
arc second,second (angle)
arc degree,degree (angle)
dalton,unified atomic mass unit
