name,abbr,python_var_name,offset,scale,derivation
gram,g,gram,0.0,0.001,kilogram
radian,rad,radian,0.0,1.0,
steradian,sr,steradian,0.0,1.0,
hertz,Hz,hertz,0.0,1.0,second^-1
newton,N,newton,0.0,1.0,second^-2_meter_kilogram
pascal,Pa,pascal,0.0,1.0,second^-2_meter^-1_kilogram
joule,J,joule,0.0,1.0,second^-2_meter^2_kilogram
watt,W,watt,0.0,1.0,second^-3_meter^2_kilogram
coulomb,C,coulomb,0.0,1.0,second_ampere
volt,V,volt,0.0,1.0,second^-3_meter^2_kilogram_ampere^-1
farad,F,farad,0.0,1.0,second^4_meter^-2_kilogram^-1_ampere^2
ohm,\u{3A9},ohm,0.0,1.0,second^-3_meter^2_kilogram_ampere^-2
siemens,S,siemens,0.0,1.0,second^3_meter^-2_kilogram^-1_ampere^2
weber,Wb,weber,0.0,1.0,second^-2_meter^2_kilogram_ampere^-1
tesla,T,tesla,0.0,1.0,second^-2_kilogram_ampere^-1
hour,hr,hour,0.0,3600.0,second
henry,H,henry,0.0,1.0,second^-2_meter^2_kilogram_ampere^-2
degree Celsius,\u{B0}C,deg_C,-273.15,1.0,kelvin
lumen,lm,lumen,0.0,1.0,candela
lux,lx,lux,0.0,1.0,meter^-2_candela
becquerel,Bq,becquerel,0.0,1.0,second^-1
gray,Gy,gray,0.0,1.0,second^-2_meter^2
sievert,Sv,sievert,0.0,1.0,second^-2_meter^2
katal,kat,katal,0.0,1.0,second^-1_mole
minute,min,minute,0.0,60.0,second
day,d,day,0.0,86400.0,second
degree (angle),\u{B0},arcdegree,0.0,0.017453292519943295,
minute (angle),',arcminute,0.0,0.0002908882086657216,
second (angle),'',arcsecond,0.0,0.00000484813681109536,
liter,L,liter,0.0,0.001,meter^3
metric ton,t,metric_ton,0.0,1000.0,kilogram
neper,Np,neper,0.0,1.0,
decibel,dB,decibel,0.0,1.0,
electronvolt,eV,electronvolt,0.0,1.602176634e-19,joule
unified atomic mass unit,amu,amu,0.0,1.66053906892e-27,kilogram
foot,ft,foot,0.0,0.3048,meter
mile,mi,mile,0.0,5280,foot
nautical mile,nmi,nautical_mile,0.0,1852.0,meter
knot,kn,knot,0.0,1,nautical mile_hour^-1
are,are,are,0.0,100.0,meter^2
bar,bar,bar,0.0,100000.0,pascal
angstrom,\u{c5},angstrom,0.0,1e-10,meter
barn,b,barn,0.0,1.0e-28,meter^2
curie,Ci,curie,0.0,3.7e10,second^-1
roentgen,R,roentgen,0.0,0.000258,second_kilogram^-1_ampere
rem,rem,rem,0.0,0.01,sievert
pound,lb,pound,0.0,0.45359237,kilogram
inch,in,inch,0.0,0.0254,meter
yard,yd,yard,0.0,0.9144,meter
pound-mol,lbmol,lbmol,0.0,453.59237,mole
gallon,gal,gallon,0.0,231,inch^3
pound-force,lbf,lbf,0.0,4.4482216152605,newton
grain,gr,grain,0.0,1.4285714285714285714285714285714e-4,pound
slug,slug,slug,0.0,32.17405,pound
fluid ounce,fl oz,fluid_ounce,0.0,0.0078125,gallon
quart,qt,quart,0.0,0.25,gallon
pint,pt,pint,0.0,0.125,gallon
cup,cup,cup,0.0,0.0625,gallon
tablespoon,tbsp,tablespoon,0.0,0.25,cup
teaspoon,tsp,teaspoon,0.0,0.3333333333333333,tablespoon
ton,ton,ton,0.0,2000.0,pound
ounce,oz,ounce,0.0,0.325,pound
atmosphere,atm,atmosphere,0.0,101325.0,pascal
torr,torr,torr,0.0,0.00131578947368421052631578947368,atmosphere
pounds per square inch,psi,psi,0.0,1,pound_inch^-2
calorie,cal,calorie,0.0,4.184,joule
erg,erg,erg,0.0,1e-07,joule
british thermal unit,BTU,BTU,0.0,1054.35,joule
horsepower,hp,horsepower,0.0,33000,foot_pound-force_minute^-1
Hartree,hartree,Hartree,0.0,4.359748199e-18,joule
poise,P,poise,0.0,0.1,pascal_second
Rankine,\u{B0}R,Rankine,0.0,0.5555555555555556,kelvin
degree Fahrenheit,\u{B0}F,deg_F,-255.37,1,Rankine
year,y,year,0.0,365.242198781,day
week,wk,week,0.0,7,day
month,mo,month,0.0,0.08333333333333333,year
lightyear,ly,lightyear,0.0,9460730472580800.0,meter
acre,ac,acre,0.0,43560,foot^2
